queid,userid,result,difficulty,tstamp
14,user143,0,medium,2147483647
17,user144,0,easy,3157
13,user139,1,medium,15632
20,user136,0,easy,18347
15,user143,0,medium,2775
11,user142,0,easy,7970
9,user148,0,easy,22080
14,user139,0,medium,4406
16,user143,0,medium,4724
18,user144,0,hard,10256
15,user139,0,medium,3742
7,user132,0,hard,46003
17,user143,0,easy,5938
19,user144,0,hard,4980
19,user144,0,hard,4980
16,user139,0,medium,4705
12,user142,1,hard,18305
17,user139,0,medium,4314
20,user144,0,hard,5376
2,user104,0,easy,64329
18,user143,0,easy,10928
8,user147,0,very hard,184005
8,user132,0,hard,21659
13,user142,1,easy,15434
18,user139,0,medium,6196
19,user143,0,medium,7206
9,user147,0,very hard,4509
10,user148,0,easy,40116
19,user139,0,medium,6798
10,user147,0,very hard,5820
21,user144,0,hard,5813
14,user142,0,medium,15195
20,user143,0,easy,12042
38,user120,0,easy,96275
11,user147,0,very hard,4690
20,user139,1,medium,6702
22,user144,0,medium,4446
3,user104,0,very hard,2147483647
9,user132,0,easy,23275
11,user148,0,easy,22222
23,user144,0,hard,4141
12,user147,0,very hard,6545
39,user120,0,hard,13655
15,user142,0,easy,15176
13,user147,1,very hard,3842
40,user120,0,very hard,9707
14,user147,0,very hard,8957
12,user148,0,very hard,21568
16,user142,0,easy,21225
10,user132,0,easy,2147483647
15,user147,0,very hard,10312
17,user142,0,easy,14789
16,user147,0,very hard,11432
17,user147,0,very hard,15210
11,user132,0,medium,34944
18,user147,0,very hard,12850
19,user147,0,very hard,10243
13,user148,1,medium,80649
12,user132,0,hard,33179
18,user142,0,medium,54935
20,user147,0,very hard,5545
13,user132,0,medium,25100
14,user148,0,hard,44954
14,user132,0,medium,32110
19,user142,0,hard,71101
15,user148,1,hard,34715
15,user132,0,medium,19588
16,user148,0,easy,10548
16,user132,0,medium,13616
17,user148,0,very hard,4900
17,user132,0,medium,21696
18,user132,0,medium,24546
18,user148,0,medium,2147483647
19,user132,0,medium,16302
19,user148,1,very hard,5984
20,user142,0,very hard,118081
20,user148,0,hard,5582
20,user132,0,hard,20093
21,user149,0,hard,2147483647
22,user149,0,medium,36731
21,user150,0,medium,88368
22,user149,0,medium,2147483647
22,user150,0,medium,21434
21,user151,0,hard,94795
24,user149,0,medium,44939
25,user149,0,easy,17811
22,user151,0,very hard,47344
23,user150,0,medium,61720
26,user149,0,medium,33761
24,user150,0,medium,34909
23,user151,0,hard,2147483647
27,user149,0,hard,56813
21,user172,0,hard,60340
25,user150,0,medium,44705
28,user149,0,hard,10356
24,user151,0,very hard,46869
26,user150,0,medium,4048
21,user164,0,hard,2147483647
21,user171,0,hard,2147483647
21,user171,0,hard,2147483647
27,user150,0,medium,6358
29,user149,0,easy,15869
22,user172,0,medium,24285
21,user165,0,easy,2147483647
21,user173,0,very hard,2147483647
28,user150,0,medium,10408
25,user151,0,medium,22182
21,user170,1,medium,102674
22,user164,0,medium,24735
22,user164,0,medium,24735
22,user164,0,medium,24735
29,user150,0,medium,12532
23,user172,0,medium,22426
30,user149,0,hard,27604
25,user164,0,medium,10349
23,user171,0,hard,38095
22,user165,0,medium,2147483647
26,user151,0,very hard,26289
30,user150,0,medium,12664
26,user164,0,hard,7324
24,user172,0,hard,20244
31,user150,0,medium,13269
24,user171,0,medium,20310
31,user149,0,hard,25687
22,user173,0,hard,53484
27,user151,0,very hard,20565
27,user164,0,medium,18322
32,user150,0,medium,8676
23,user165,0,very hard,36892
33,user150,0,medium,5100
28,user151,0,very hard,15530
32,user149,0,medium,2147483647
34,user150,0,medium,4582
25,user171,0,easy,27453
2,user163,0,easy,2147483647
28,user164,0,hard,24252
25,user172,0,medium,42304
35,user150,0,medium,5077
29,user164,0,hard,4198
29,user151,0,very hard,22194
22,user170,1,medium,74146
36,user150,0,medium,11484
30,user164,0,hard,4518
26,user172,0,very hard,20328
26,user171,0,very hard,28445
31,user164,0,medium,6283
37,user150,0,medium,8668
33,user149,0,medium,37733
30,user151,1,hard,23869
32,user164,0,hard,4498
27,user172,0,very hard,18715
33,user164,0,hard,5573
3,user163,0,easy,2147483647
23,user173,0,very hard,83524
27,user171,0,hard,28685
38,user150,0,medium,22656
34,user164,0,hard,17866
39,user150,0,medium,8658
31,user151,0,very hard,33145
34,user149,0,medium,37756
28,user172,0,hard,28616
35,user164,0,medium,8250
40,user150,0,medium,8022
35,user149,0,hard,2147483647
24,user173,0,very hard,39090
4,user163,0,medium,2147483647
23,user170,0,medium,81489
36,user164,0,easy,11950
32,user151,0,very hard,29773
36,user149,0,medium,15020
29,user172,0,medium,30966
5,user163,0,medium,12882
28,user171,1,very hard,55736
5,user163,0,medium,12882
37,user164,0,medium,11457
37,user164,0,medium,11457
7,user163,0,medium,6073
37,user149,0,medium,20057
30,user172,0,hard,17020
29,user171,0,very hard,16882
8,user163,0,very hard,7482
8,user163,0,very hard,7482
38,user149,0,hard,7330
30,user171,0,hard,8497
10,user163,0,medium,6810
31,user172,0,medium,10208
39,user149,0,hard,5149
25,user173,0,very hard,60370
21,user155,0,medium,2147483647
31,user171,0,medium,7111
11,user163,0,medium,7365
33,user151,0,hard,55328
32,user172,0,hard,7980
11,user163,0,medium,7365
39,user164,1,medium,45850
13,user163,0,easy,5491
32,user171,0,very hard,14722
33,user172,0,very hard,9672
40,user149,0,hard,22768
14,user163,1,medium,6355
33,user171,0,very hard,4491
34,user172,0,medium,8988
26,user173,0,very hard,33349
15,user163,0,easy,5587
34,user171,0,hard,6186
35,user172,0,medium,6609
35,user171,0,hard,4378
36,user172,0,hard,7875
36,user171,0,medium,12744
37,user172,0,medium,9718
27,user173,0,very hard,28997
22,user155,0,medium,66609
37,user171,0,very hard,7692
28,user173,0,hard,2147483647
38,user172,0,hard,15623
38,user171,0,hard,15431
16,user163,0,very hard,38865
39,user171,0,very hard,5970
29,user173,0,very hard,16347
34,user151,0,very hard,106531
17,user163,0,hard,8217
39,user172,0,very hard,22311
24,user170,0,hard,166353
40,user171,0,very hard,10670
18,user163,0,easy,13240
40,user172,0,hard,15551
19,user163,0,hard,9802
35,user151,0,hard,29382
20,user163,0,very hard,7295
30,user173,0,hard,29832
25,user170,1,easy,50518
31,user173,0,medium,14247
36,user151,0,hard,27837
32,user173,0,very hard,12031
37,user151,0,very hard,24374
33,user173,0,very hard,30957
26,user170,0,medium,66814
34,user173,0,very hard,10011
38,user151,0,very hard,25042
35,user173,0,very hard,8830
36,user173,0,very hard,6900
39,user151,1,very hard,24503
27,user170,1,easy,33294
37,user173,0,very hard,6651
21,user156,0,easy,2147483647
28,user170,0,medium,20785
