queid,userid,result,difficulty,tstamp
29,user121,1,easy,170858
8,user141,1,medium,56393
29,user119,1,easy,171406
9,user141,0,very hard,4382
12,user140,1,medium,16183
4,user118,1,very hard,44273
10,user141,0,medium,4255
13,user140,0,very hard,3288
24,user123,1,medium,115969
14,user140,1,hard,2386
11,user141,0,very hard,3632
15,user135,1,easy,68674
9,user146,0,easy,38426
11,user109,0,hard,58630
5,user118,0,very hard,39870
13,user110,1,hard,1000
12,user109,0,medium,79783
13,user111,1,medium,160910
11,user108,0,easy,164345
30,user119,0,hard,143583
6,user118,0,very hard,90830
10,user146,0,medium,118252
7,user118,1,very hard,14026
25,user123,1,easy,156148
12,user103,0,medium,647020
13,user109,0,medium,53280
11,user146,1,hard,22299
14,user111,0,easy,53303
14,user110,0,easy,103058
26,user123,0,easy,45944
30,user121,1,easy,2147483647
12,user108,0,medium,103651
12,user141,0,hard,226759
14,user109,0,medium,64967
15,user140,0,hard,232818
8,user118,1,very hard,86711
16,user123,1,medium,19198
13,user108,0,medium,25023
14,user108,0,hard,3632
17,user123,1,medium,6449
15,user108,1,very hard,3461
15,user109,0,medium,34440
13,user141,0,very hard,38000
18,user123,1,easy,3715
1,user102,0,hard,1000
9,user118,1,very hard,30215
14,user141,1,very hard,2715
2,user102,0,easy,2459
19,user123,1,medium,5528
15,user141,0,hard,3778
3,user102,0,medium,2030
4,user102,0,hard,2478
5,user102,1,hard,2246
20,user123,1,medium,12984
6,user102,1,hard,1761
7,user102,0,medium,2591
21,user123,1,easy,9487
13,user103,1,easy,149980
10,user118,0,very hard,36888
8,user102,0,medium,1854
22,user123,1,medium,4142
9,user102,1,medium,2513
22,user123,1,medium,4142
10,user102,0,medium,2119
1,user119,0,easy,69113
24,user123,1,medium,5906
11,user102,0,medium,1580
11,user118,0,very hard,25286
25,user123,1,medium,13482
12,user118,1,very hard,8723
1,user120,0,medium,88003
26,user123,1,easy,8996
12,user146,0,medium,196124
1,user121,0,easy,104453
13,user146,0,hard,27753
15,user110,0,very hard,195548
10,user124,0,medium,669073
14,user146,0,hard,13320
10,user122,0,hard,688706
15,user146,0,very hard,14923
13,user118,0,very hard,86174
16,user146,1,very hard,3579
17,user146,0,very hard,3266
18,user146,0,hard,3748
27,user123,1,easy,112288
14,user118,1,very hard,30520
19,user146,1,very hard,9455
15,user118,0,very hard,7583
20,user146,0,very hard,2923
21,user146,0,very hard,7096
28,user123,1,easy,24520
16,user118,0,very hard,7589
22,user146,0,hard,10025
17,user118,0,very hard,5242
18,user118,1,very hard,4594
23,user146,0,hard,13890
29,user123,1,medium,29810
24,user146,0,medium,8619
19,user118,1,very hard,18067
14,user103,1,easy,241036
25,user146,1,hard,4939
20,user118,0,very hard,13979
26,user146,0,hard,15161
2,user119,0,medium,250465
21,user118,1,very hard,6156
2,user121,0,easy,212207
2,user120,1,medium,220753
27,user146,0,medium,7521
22,user118,0,very hard,12722
15,user103,1,easy,50443
28,user146,0,hard,24436
29,user146,1,hard,7544
23,user118,1,very hard,38964
30,user146,0,hard,14475
24,user118,0,very hard,5807
11,user124,0,hard,254181
25,user118,0,very hard,7225
26,user118,1,very hard,32093
27,user118,1,very hard,14125
3,user119,0,medium,134317
11,user122,0,medium,301696
3,user120,0,hard,130378
28,user118,0,very hard,4886
3,user121,0,easy,129842
29,user118,1,very hard,2147483647
30,user118,0,very hard,6418
12,user124,0,hard,2147483647
13,user124,1,easy,81241
12,user122,1,medium,215403
4,user120,1,hard,219524
4,user121,1,easy,207378
4,user119,1,medium,228763
5,user120,0,medium,27290
5,user121,0,easy,26104
5,user119,0,easy,26460
5,user120,0,medium,27290
1,user120,0,medium,4557
2,user120,0,very hard,3300
3,user120,0,easy,4946
4,user120,1,very hard,4290
14,user124,1,medium,92367
5,user120,0,easy,2086
30,user123,1,medium,598800
15,user124,1,easy,105450
6,user119,1,medium,243410
6,user121,1,easy,260696
6,user120,1,easy,302374
13,user122,1,hard,1000
7,user121,1,easy,114829
7,user120,1,easy,13592
7,user119,1,easy,136658
14,user122,1,medium,24862
8,user121,1,easy,27310
8,user120,1,easy,24454
8,user119,1,easy,24028
15,user122,1,medium,8523
9,user119,1,easy,34281
9,user121,1,easy,38313
9,user120,1,medium,40948
10,user121,0,easy,7019
10,user119,0,easy,12733
10,user120,0,hard,8670
11,user121,0,easy,6464
11,user119,0,easy,4914
12,user121,1,easy,31566
13,user121,1,hard,6258
12,user119,0,hard,42610
14,user121,1,hard,3786
15,user121,1,medium,3893
13,user119,0,medium,25706
14,user119,0,medium,9848
15,user119,1,hard,4287
11,user120,0,easy,130928
12,user120,0,hard,3486
13,user120,0,hard,2710
14,user120,0,easy,3029
15,user120,1,very hard,1781
16,user156,1,easy,128533
16,user152,1,medium,169405
17,user156,0,easy,45199
16,user160,1,medium,95384
16,user153,1,easy,186405
9,user163,0,easy,14871
9,user163,0,easy,14871
18,user156,1,easy,21497
16,user157,1,hard,87990
